"data";"valor"
"01/06/2010";"12974"
"01/07/2010";"14669"
"01/08/2010";"13229"
"01/09/2010";"13224"
"01/10/2010";"13489"
"01/11/2010";"14568"
"01/12/2010";"17457"
"01/01/2011";"12229"
"01/02/2011";"12694"
"01/03/2011";"14488"
"01/04/2011";"13514"
"01/05/2011";"15127"
"01/06/2011";"14769"
"01/07/2011";"15530"
"01/08/2011";"16438"
"01/09/2011";"14940"
"01/10/2011";"13867"
"01/11/2011";"13424"
"01/12/2011";"15630"
"01/01/2012";"13003"
"01/02/2012";"10892"
"01/03/2012";"13312"
"01/04/2012";"10845"
"01/05/2012";"10792"
"01/06/2012";"10697"
"01/07/2012";"10729"
"01/08/2012";"11368"
"01/09/2012";"8471"
"01/10/2012";"12543"
"01/11/2012";"12566"
"01/12/2012";"12528"
"01/01/2013";"12185"
"01/02/2013";"9979"
"01/03/2013";"12344"
"01/04/2013";"14053"
"01/05/2013";"12714"
"01/06/2013";"13084"
"01/07/2013";"15230"
"01/08/2013";"13376"
"01/09/2013";"12969"
"01/10/2013";"13533"
"01/11/2013";"11591"
"01/12/2013";"14341"
"01/01/2014";"10716"
"01/02/2014";"10363"
"01/03/2014";"9234"
"01/04/2014";"10896"
"01/05/2014";"12775"
"01/06/2014";"10701"
"01/07/2014";"12372"
"01/08/2014";"10828"
"01/09/2014";"11213"
"01/10/2014";"12186"
"01/11/2014";"12167"
"01/12/2014";"13697"
"01/01/2015";"7677"
"01/02/2015";"5171"
"01/03/2015";"6503"
"01/04/2015";"5806"
"01/05/2015";"6026"
"01/06/2015";"6211"
"01/07/2015";"6515"
"01/08/2015";"5836"
"01/09/2015";"5945"
"01/10/2015";"5784"
"01/11/2015";"4733"
"01/12/2015";"5578"
"01/01/2016";"4346"
"01/02/2016";"3823"
"01/03/2016";"4822"
"01/04/2016";"4191"
"01/05/2016";"4059"
"01/06/2016";"4188"
"01/07/2016";"4682"
"01/08/2016";"4385"
"01/09/2016";"4154"
"01/10/2016";"3419"
"01/11/2016";"3788"
"01/12/2016";"4446"
"01/01/2017";"2940"
"01/02/2017";"2611"
"01/03/2017";"4120"
"01/04/2017";"3488"
"01/05/2017";"4119"
"01/06/2017";"4179"
"01/07/2017";"4524"
"01/08/2017";"4821"
"01/09/2017";"4542"
"01/10/2017";"5055"
"01/11/2017";"5496"
"01/12/2017";"6174"
"01/01/2018";"4593"
"01/02/2018";"4107"
"01/03/2018";"5968"
"01/04/2018";"6222"
"01/05/2018";"5717"
"01/06/2018";"5730"
"01/07/2018";"6666"
"01/08/2018";"7439"
"01/09/2018";"6703"
"01/10/2018";"7919"
"01/11/2018";"7759"
"01/12/2018";"7603"
"01/01/2019";"6932"
"01/02/2019";"6816"
"01/03/2019";"7628"
"01/04/2019";"8488"
"01/05/2019";"9197"
"01/06/2019";"7804"
"01/07/2019";"9000"
"01/08/2019";"9579"
"01/09/2019";"9300"
"01/10/2019";"9498"
"01/11/2019";"9163"
"01/12/2019";"8328"
"01/01/2020";"7181"
"01/02/2020";"6516"
"01/03/2020";"6512"
"01/04/2020";"3902"
"01/05/2020";"4724"
"01/06/2020";"8749"
"01/07/2020";"9506"
"01/08/2020";"8073"
"01/09/2020";"7387"
"01/10/2020";"7965"
"01/11/2020";"9020"
"01/12/2020";"9638"
"01/01/2021";"7259"
"01/02/2021";"7712"
"01/03/2021";"10792"
"01/04/2021";"9811"
"01/05/2021";"11348"
"01/06/2021";"11095"
"01/07/2021";"11479"
"01/08/2021";"12650"
"01/09/2021";"11555"
"01/10/2021";"11068"
"01/11/2021";"10559"
"01/12/2021";"11985"
"01/01/2022";"8515"
"01/02/2022";"8112"
"01/03/2022";"10133"
"01/04/2022";"9375"
"01/05/2022";"10318"
"01/06/2022";"10861"
"01/07/2022";"11326"
"01/08/2022";"12297"
"01/09/2022";"11091"
"01/10/2022";"10582"
